№,業者番号,会社名,所在地,電話番号,経審（Ｐ）,総合数値,ランク,geometry
55,1000001211,株式会社園田塗装店,浜松市中央区有玉北町７５６番地,433-4488,769,779,B,POINT(137.756708 34.76692)
56,1000002472,株式会社ユニティ,浜松市中央区大蒲町１１８番地の５,411-3100,773,773,B,POINT(137.768799 34.71452)
57,1000000193,株式会社イトウ工務店,浜松市浜名区貴布祢２６７８番地,586-3700,771,771,B,POINT(137.783585 34.799199)
58,1000002744,遠州建設株式会社,浜松市中央区高塚町４８８８,445-6288,758,768,B,POINT(137.674863 34.68909)
59,1000002132,北栄建設株式会社,浜松市浜名区都田町８５４６番地の５,428-2160,743,763,B,POINT(137.723758 34.815852)
60,1000002381,森吉組株式会社,浜松市天竜区春野町長蔵寺１０３２‐５,986-0321,752,762,B,POINT(137.930836 34.990657)
61,1000002173,株式会社町田丸弘工業,浜松市浜名区尾野７１９,582-2754,744,754,B,POINT(137.79082 34.82611)
62,1000001462,株式会社天竜組,浜松市中央区薬師町４１６番地,421-0617,722,752,B,POINT(137.783705 34.721663)
63,1000001884,株式会社野沢建築,浜松市浜名区引佐町横尾８７６番地の１,542-0328,748,748,C,POINT(137.657755 34.83563)
64,1000008205,有限会社大橋建工,浜松市中央区上西町１００９番地,464-1186,735,745,C,POINT(137.764205 34.726551)
65,1000000854,エスケード株式会社,浜松市中央区市野町６７１,433-2335,702,742,C,POINT(137.771164 34.749365)
66,1000000547,川合建設株式会社,浜松市浜名区本沢合３７１番地の２,587-7575,711,741,C,POINT(137.801187 34.811435)
67,1000000092,株式会社アヅマ,浜松市中央区三幸町２５１,438-3211,726,736,C,POINT(137.727552 34.80067)
68,1000000126,株式会社井口組,浜松市浜名区三ヶ日町都筑７５１番地,526-7002,716,736,C,POINT(137.582523 34.789958)
69,1000002145,株式会社ホリコシ産業,浜松市中央区根洗町１６‐３,437-1126,725,735,C,POINT(137.704488 34.802342)
70,1000000226,株式会社岩田建設,浜松市浜名区引佐町狩宿５５２番地,543-0452,714,734,C,POINT(137.617631 34.867987)
71,1000000789,小林建設株式会社,浜松市浜名区都田町１６３７番地,428-2018,780,730,C,POINT(137.715463 34.813075)
72,1000002175,松井建設株式会社,浜松市浜名区中条１６３１,586-1503,726,726,C,POINT(137.777446 34.78245)
73,1000002141,株式会社細江中村組,浜松市浜名区細江町気賀１８２０‐１,523-1155,723,723,C,POINT(137.647479 34.794616)
74,1000001467,天龍造園建設株式会社,浜松市中央区材木町３８,421-1180,721,721,C,POINT(137.792362 34.718666)
75,1000002101,文丘建設株式会社,浜松市中央区常光町７３０,422-6075,736,716,C,POINT(137.800773 34.747094)
76,1000001468,天龍土建工業株式会社,浜松市天竜区二俣町二俣１３８２‐２,926-2156,725,715,C,POINT(137.814607 34.864441)
77,1000000158,株式会社泉組,浜松市中央区富塚町８５１‐１,472-9711,723,713,C,POINT(137.707213 34.726444)
78,1000001613,とやま建材株式会社,浜松市浜名区宮口２６２６番地の３,582-2321,721,711,C,POINT(137.767254 34.821076)
79,1000000050,株式会社秋山内装,浜松市中央区小沢渡町１７番地の１,448-9732,709,709,C,POINT(137.692214 34.684246)
80,1000002848,エネジン株式会社,浜松市中央区高林５丁目６番３１号,471-1414,697,707,C,POINT(137.735041 34.733929)
81,1000001492,株式会社東海土木,浜松市中央区馬郡町４３３６,592-0243,724,704,C,POINT(137.634693 34.680886)
82,1000002367,森下建設有限会社,浜松市浜名区引佐町狩宿５１２番地,543-0439,684,704,C,POINT(137.617814 34.868251)
83,1000000244,ウグイスヤトーヨー住器株式会社,浜松市中央区湖東町３２９２番地の１,488-8338,702,702,C,POINT(137.688915 34.757787)
84,1000001422,つぼい工業株式会社,浜松市中央区三方原町８７４‐５,438-1111,719,699,C,POINT(137.720176 34.781912)
85,1000000204,株式会社イナケン,浜松市中央区高塚町７１０‐２,448-3516,696,696,C,POINT(137.683712 34.692341)
86,1000001205,綜合ハウス建工株式会社,浜松市中央区高丘北三丁目３１番９号,430-1087,694,694,C,POINT(137.702928 34.762903)
87,1000001592,株式会社戸田建設,浜松市浜名区引佐町黒渕１９３番地の１,543-0114,703,693,C,POINT(137.654119 34.8375)
88,1000001549,東洋仮設興業株式会社,浜松市中央区原島町３９番地,463-1000,690,690,C,POINT(137.770909 34.727096)
89,1000000562,川嶋工務店株式会社,浜松市中央区舞阪町舞阪４４３８番地,592-0601,669,689,C,POINT(137.620804 34.679556)
90,1000000738,株式会社光部建設,浜松市中央区和合北四丁目７番３１号,471-0381,674,684,C,POINT(137.717962 34.743157)
91,1000002280,株式会社道林建設,浜松市天竜区佐久間町浦川２８９７‐１,967-2653,714,684,C,POINT(137.763691 35.05777)
92,1000001677,株式会社中村工務店,浜松市中央区雄踏町宇布見５１５８‐１,592-2851,662,682,C,POINT(137.632931 34.69816)
93,1000001985,株式会社美化興業,浜松市中央区幸一丁目１３番２１号,474-7000,682,682,C,POINT(137.729079 34.74162)
94,1000002365,株式会社森下組,浜松市天竜区二俣町二俣１２４番地の２,925-2247,698,678,C,POINT(137.816886 34.86431)
95,1000000546,川井建設株式会社,浜松市中央区早出町１２００‐１２,461-9491,653,673,C,POINT(137.750035 34.733348)
96,1000001148,生厚建設株式会社,浜松市中央区卸本町５５,441-3404,663,673,C,POINT(137.726095 34.67395)
97,1000001425,鶴見建設有限会社,浜松市浜名区三ヶ日町大崎４９２番地,526-7005,706,666,C,POINT(137.574533 34.782539)
98,1000002492,株式会社吉田組,浜松市中央区雄踏町宇布見８１８８‐３,592-1258,706,666,C,POINT(137.627844 34.702016)
99,1000001132,スルガハウス工業株式会社,浜松市中央区上石田町４８４‐３,435-4917,652,662,C,POINT(137.79011 34.755383)
100,1000002188,株式会社松下建設,浜松市天竜区春野町気田９３５‐３,989-0218,642,662,C,POINT(137.909783 35.007128)
101,1000000368,株式会社太田建設,浜松市中央区初生町１０３０番地の１５,597-3910,657,657,C,POINT(137.729646 34.769991)
102,1000000264,株式会社浦川建設,浜松市天竜区佐久間町浦川２７４８,967-2635,695,655,C,POINT(137.762822 35.052857)
103,1000002197,株式会社マット,浜松市浜名区引佐町井伊谷７４５番地の３,542-2921,644,654,C,POINT(137.671317 34.833171)
104,1000001745,日鉱産業株式会社,浜松市中央区有玉南町７８２番地の１,433-1109,662,652,C,POINT(137.748417 34.758972)
105,1000001453,株式会社テンイチ,浜松市中央区薬師町４９８,421-0014,688,648,C,POINT(137.785831 34.724605)
106,1000000446,小野建設株式会社,浜松市中央区三和町４２５番地,464-3170,642,642,C,POINT(137.76722 34.704777)
107,1000000190,伊藤建設株式会社,浜松市天竜区佐久間町奥領家９７２‐１,987-2225,661,641,C,POINT(137.840757 35.129379)
108,1000005701,株式会社ビルド２１,浜松市中央区原島町３９番地,461-2100,641,641,C,POINT(137.770909 34.727096)
109,1000002613,株式会社植山建築,浜松市天竜区佐久間町大井２２６５番地の１０,964-0425,630,640,C,POINT(137.839377 35.08501)
110,1000007508,株式会社ＫＡＫＥＮ,浜松市中央区中郡町９８５番地の１,589-3157,640,640,C,POINT(137.774971 34.773237)
111,1000000785,湖南野嶋建設株式会社,浜松市中央区馬郡町４４０６番地の２,596-0200,669,639,C,POINT(137.636462 34.681251)
112,1000007890,株式会社シーマー,浜松市中央区植松町２６５番地の１５,468-1535,636,636,C,POINT(137.757265 34.707929)
113,1000001885,株式会社野末工務店,浜松市浜名区引佐町伊平１１１２番地の１,544-0237,664,634,C,POINT(137.657773 34.867227)
114,1000002024,株式会社フィールド・サービス,浜松市中央区白鳥町９７５番地の１,421-0603,672,632,C,POINT(137.797265 34.744185)
115,1000007512,株式会社田中建設,浜松市浜名区引佐町黒渕１１６‐１,543-1000,630,630,C,POINT(137.654537 34.835737)
